,algoritmo,tamEntrada,tipoEntrada,tempoGasto
0,bubbleSort,1000,crescente,21.76666259765625
1,bubbleSort,1000,decrescente,46.643972396850586
2,bubbleSort,1000,aleatorio,34.93070602416992
3,bubbleSort,5000,crescente,565.9992694854736
4,bubbleSort,5000,decrescente,1238.2590770721436
5,bubbleSort,5000,aleatorio,978.269100189209
6,bubbleSort,10000,crescente,2467.4298763275146
7,bubbleSort,10000,decrescente,4942.581653594971
8,bubbleSort,10000,aleatorio,4002.7167797088623
9,bubbleSort,15000,crescente,5332.533836364746
10,bubbleSort,15000,decrescente,11009.120225906372
11,bubbleSort,15000,aleatorio,8772.740602493286
12,bubbleSort,20000,crescente,9461.19236946106
13,bubbleSort,20000,decrescente,21093.048334121704
14,bubbleSort,20000,aleatorio,16233.43563079834
15,bubbleSort,30000,crescente,22252.357959747314
16,bubbleSort,30000,decrescente,45079.9343585968
17,bubbleSort,30000,aleatorio,36000.85496902466
18,bubbleSort,40000,crescente,40540.5547618866
19,bubbleSort,40000,decrescente,83407.36103057861
20,bubbleSort,40000,aleatorio,66829.13088798523
21,bubbleSort,50000,crescente,59469.49315071106
22,bubbleSort,50000,decrescente,134743.87884140015
23,bubbleSort,50000,aleatorio,105299.78394508362
24,bubbleSortMelhorado,1000,crescente,0.9958744049072266
25,bubbleSortMelhorado,1000,decrescente,71.79760932922363
26,bubbleSortMelhorado,1000,aleatorio,63.53569030761719
27,bubbleSortMelhorado,5000,crescente,0.0
28,bubbleSortMelhorado,5000,decrescente,1928.776741027832
29,bubbleSortMelhorado,5000,aleatorio,1705.2483558654785
30,bubbleSortMelhorado,10000,crescente,0.0
31,bubbleSortMelhorado,10000,decrescente,7731.862783432007
32,bubbleSortMelhorado,10000,aleatorio,6912.580966949463
33,bubbleSortMelhorado,15000,crescente,1.2481212615966797
34,bubbleSortMelhorado,15000,decrescente,17008.170127868652
35,bubbleSortMelhorado,15000,aleatorio,15545.589208602905
36,bubbleSortMelhorado,20000,crescente,0.9965896606445312
37,bubbleSortMelhorado,20000,decrescente,29708.89687538147
38,bubbleSortMelhorado,20000,aleatorio,25844.096183776855
39,bubbleSortMelhorado,30000,crescente,1.993417739868164
40,bubbleSortMelhorado,30000,decrescente,70466.641664505
41,bubbleSortMelhorado,30000,aleatorio,59325.35004615784
42,bubbleSortMelhorado,40000,crescente,2.9897689819335938
43,bubbleSortMelhorado,40000,decrescente,126294.0604686737
44,bubbleSortMelhorado,40000,aleatorio,111979.8276424408
45,bubbleSortMelhorado,50000,crescente,3.9911270141601562
46,bubbleSortMelhorado,50000,decrescente,802013.9548778534
47,bubbleSortMelhorado,50000,aleatorio,181943.4769153595
48,quickSort,1000,crescente,22.236108779907227
49,quickSort,1000,decrescente,19.586563110351562
50,quickSort,1000,aleatorio,0.9965896606445312
51,quickSort,5000,crescente,576.8773555755615
52,quickSort,5000,decrescente,575.5314826965332
53,quickSort,5000,aleatorio,8.186101913452148
54,quickSort,10000,crescente,2363.0988597869873
55,quickSort,10000,decrescente,2077.382802963257
56,quickSort,10000,aleatorio,11.475563049316406
57,quickSort,15000,crescente,4299.258708953857
58,quickSort,15000,decrescente,4699.012994766235
59,quickSort,15000,aleatorio,19.574403762817383
60,quickSort,20000,crescente,8040.223598480225
61,quickSort,20000,decrescente,9505.467891693115
62,quickSort,20000,aleatorio,32.19032287597656
63,quickSort,30000,crescente,18329.997301101685
64,quickSort,30000,decrescente,17193.50790977478
65,quickSort,30000,aleatorio,37.164926528930664
66,quickSort,40000,crescente,30892.895460128784
67,quickSort,40000,decrescente,30642.373085021973
68,quickSort,40000,aleatorio,53.096771240234375
69,quickSort,50000,crescente,52672.43504524231
70,quickSort,50000,decrescente,47883.9693069458
71,quickSort,50000,aleatorio,67.6584243774414
72,quickSortMelhorado,1000,crescente,1.0771751403808594
73,quickSortMelhorado,1000,decrescente,0.0
74,quickSortMelhorado,1000,aleatorio,0.9093284606933594
75,quickSortMelhorado,5000,crescente,1.9712448120117188
76,quickSortMelhorado,5000,decrescente,1.9540786743164062
77,quickSortMelhorado,5000,aleatorio,4.131793975830078
78,quickSortMelhorado,10000,crescente,5.019664764404297
79,quickSortMelhorado,10000,decrescente,4.996061325073242
80,quickSortMelhorado,10000,aleatorio,10.036945343017578
81,quickSortMelhorado,15000,crescente,7.933378219604492
82,quickSortMelhorado,15000,decrescente,7.300615310668945
83,quickSortMelhorado,15000,aleatorio,13.30423355102539
84,quickSortMelhorado,20000,crescente,12.150764465332031
85,quickSortMelhorado,20000,decrescente,11.583566665649414
86,quickSortMelhorado,20000,aleatorio,18.579721450805664
87,quickSortMelhorado,30000,crescente,15.500545501708984
88,quickSortMelhorado,30000,decrescente,17.144441604614258
89,quickSortMelhorado,30000,aleatorio,29.50286865234375
90,quickSortMelhorado,40000,crescente,21.231651306152344
91,quickSortMelhorado,40000,decrescente,22.1250057220459
92,quickSortMelhorado,40000,aleatorio,39.160966873168945
93,quickSortMelhorado,50000,crescente,31.131267547607422
94,quickSortMelhorado,50000,decrescente,30.32064437866211
95,quickSortMelhorado,50000,aleatorio,49.97706413269043
96,insertionSort,1000,crescente,1.0120868682861328
97,insertionSort,1000,decrescente,32.91964530944824
98,insertionSort,1000,aleatorio,15.105485916137695
99,insertionSort,5000,crescente,0.9953975677490234
100,insertionSort,5000,decrescente,809.1831207275391
101,insertionSort,5000,aleatorio,430.2959442138672
102,insertionSort,10000,crescente,0.9865760803222656
103,insertionSort,10000,decrescente,3220.9417819976807
104,insertionSort,10000,aleatorio,1661.397933959961
105,insertionSort,15000,crescente,1.0297298431396484
106,insertionSort,15000,decrescente,7425.185918807983
107,insertionSort,15000,aleatorio,3769.6895599365234
108,insertionSort,20000,crescente,1.9941329956054688
109,insertionSort,20000,decrescente,13813.312768936157
110,insertionSort,20000,aleatorio,7105.630159378052
111,insertionSort,30000,crescente,3.4134387969970703
112,insertionSort,30000,decrescente,33194.23747062683
113,insertionSort,30000,aleatorio,26304.134130477905
114,insertionSort,40000,crescente,6.957292556762695
115,insertionSort,40000,decrescente,60728.49178314209
116,insertionSort,40000,aleatorio,26466.956853866577
117,insertionSort,50000,crescente,4.477739334106445
118,insertionSort,50000,decrescente,108448.08626174927
119,insertionSort,50000,aleatorio,46011.09170913696
120,shellSort,1000,crescente,2.99072265625
121,shellSort,1000,decrescente,1.979827880859375
122,shellSort,1000,aleatorio,1.0082721710205078
123,shellSort,5000,crescente,4.00233268737793
124,shellSort,5000,decrescente,4.126071929931641
125,shellSort,5000,aleatorio,7.963418960571289
126,shellSort,10000,crescente,4.973888397216797
127,shellSort,10000,decrescente,9.251832962036133
128,shellSort,10000,aleatorio,17.27604866027832
129,shellSort,15000,crescente,10.005950927734375
130,shellSort,15000,decrescente,14.642953872680664
131,shellSort,15000,aleatorio,31.8601131439209
132,shellSort,20000,crescente,12.481689453125
133,shellSort,20000,decrescente,22.526264190673828
134,shellSort,20000,aleatorio,42.95611381530762
135,shellSort,30000,crescente,20.642757415771484
136,shellSort,30000,decrescente,36.62562370300293
137,shellSort,30000,aleatorio,70.39499282836914
138,shellSort,40000,crescente,32.12475776672363
139,shellSort,40000,decrescente,45.40753364562988
140,shellSort,40000,aleatorio,95.7801342010498
141,shellSort,50000,crescente,41.32413864135742
142,shellSort,50000,decrescente,64.08333778381348
143,shellSort,50000,aleatorio,157.10926055908203
144,selectionSort,1000,crescente,18.310546875
145,selectionSort,1000,decrescente,17.625808715820312
146,selectionSort,1000,aleatorio,13.286352157592773
147,selectionSort,5000,crescente,359.2824935913086
148,selectionSort,5000,decrescente,391.3278579711914
149,selectionSort,5000,aleatorio,348.1729030609131
150,selectionSort,10000,crescente,1452.4946212768555
151,selectionSort,10000,decrescente,1641.7326927185059
152,selectionSort,10000,aleatorio,1433.8576793670654
153,selectionSort,15000,crescente,2961.0073566436768
154,selectionSort,15000,decrescente,3514.582633972168
155,selectionSort,15000,aleatorio,3030.322551727295
156,selectionSort,20000,crescente,5624.894142150879
157,selectionSort,20000,decrescente,6353.670597076416
158,selectionSort,20000,aleatorio,5440.999984741211
159,selectionSort,30000,crescente,12314.308643341064
160,selectionSort,30000,decrescente,14410.123348236084
161,selectionSort,30000,aleatorio,12247.66731262207
162,selectionSort,40000,crescente,21754.637241363525
163,selectionSort,40000,decrescente,26379.1606426239
164,selectionSort,40000,aleatorio,22107.95307159424
165,selectionSort,50000,crescente,34391.27707481384
166,selectionSort,50000,decrescente,49199.580669403076
167,selectionSort,50000,aleatorio,55141.887187957764
168,heapSort,1000,crescente,3.4165382385253906
169,heapSort,1000,decrescente,0.9977817535400391
170,heapSort,1000,aleatorio,2.073526382446289
171,heapSort,5000,crescente,9.981632232666016
172,heapSort,5000,decrescente,9.202241897583008
173,heapSort,5000,aleatorio,11.174201965332031
174,heapSort,10000,crescente,22.189617156982422
175,heapSort,10000,decrescente,20.948171615600586
176,heapSort,10000,aleatorio,21.70848846435547
177,heapSort,15000,crescente,35.436391830444336
178,heapSort,15000,decrescente,32.40656852722168
179,heapSort,15000,aleatorio,34.61623191833496
180,heapSort,20000,crescente,48.62260818481445
181,heapSort,20000,decrescente,47.99032211303711
182,heapSort,20000,aleatorio,50.89116096496582
183,heapSort,30000,crescente,76.81417465209961
184,heapSort,30000,decrescente,74.29075241088867
185,heapSort,30000,aleatorio,79.32925224304199
186,heapSort,40000,crescente,109.67636108398438
187,heapSort,40000,decrescente,101.7153263092041
188,heapSort,40000,aleatorio,101.18794441223145
189,heapSort,50000,crescente,154.5236110687256
190,heapSort,50000,decrescente,139.06240463256836
191,heapSort,50000,aleatorio,159.40618515014648
192,mergeSort,1000,crescente,5.980014801025391
193,mergeSort,1000,decrescente,3.985881805419922
194,mergeSort,1000,aleatorio,3.986835479736328
195,mergeSort,5000,crescente,31.51392936706543
196,mergeSort,5000,decrescente,19.274473190307617
197,mergeSort,5000,aleatorio,20.082712173461914
198,mergeSort,10000,crescente,63.008785247802734
199,mergeSort,10000,decrescente,64.22710418701172
200,mergeSort,10000,aleatorio,66.3604736328125
201,mergeSort,15000,crescente,132.94434547424316
202,mergeSort,15000,decrescente,129.5177936553955
203,mergeSort,15000,aleatorio,143.92566680908203
204,mergeSort,20000,crescente,237.77174949645996
205,mergeSort,20000,decrescente,238.40904235839844
206,mergeSort,20000,aleatorio,242.2201633453369
207,mergeSort,30000,crescente,520.0862884521484
208,mergeSort,30000,decrescente,530.9524536132812
209,mergeSort,30000,aleatorio,490.92864990234375
210,mergeSort,40000,crescente,840.325117111206
211,mergeSort,40000,decrescente,844.440221786499
212,mergeSort,40000,aleatorio,864.9759292602539
213,mergeSort,50000,crescente,1355.5660247802734
214,mergeSort,50000,decrescente,1291.97359085083
215,mergeSort,50000,aleatorio,1332.8652381896973
