,algoritmo,tipoEntrada,tamEntrada,tempoGasto
0,quickSort,1000,crescente,22.5522518157959
1,quickSort,1000,decrescente,19.577741622924805
2,quickSort,1000,aleatorio,0.9975433349609375
3,quickSort,5000,crescente,485.9163761138916
4,quickSort,5000,decrescente,488.79027366638184
5,quickSort,5000,aleatorio,4.949092864990234
6,quickSort,10000,crescente,2003.8342475891113
7,quickSort,10000,decrescente,2125.330686569214
8,quickSort,10000,aleatorio,12.319326400756836
9,quickSort,15000,crescente,4411.687850952148
10,quickSort,15000,decrescente,4479.68864440918
11,quickSort,15000,aleatorio,18.488168716430664
12,quickSort,20000,crescente,8010.512113571167
13,quickSort,20000,decrescente,7976.082324981689
14,quickSort,20000,aleatorio,25.538921356201172
15,quickSort,50000,crescente,52154.677391052246
16,quickSort,50000,decrescente,50841.38512611389
17,quickSort,50000,aleatorio,68.62473487854004
18,bubbleSort,1000,crescente,23.36597442626953
19,bubbleSort,1000,decrescente,43.72906684875488
20,bubbleSort,1000,aleatorio,34.996986389160156
21,bubbleSort,5000,crescente,559.9830150604248
22,bubbleSort,5000,decrescente,1339.8783206939697
23,bubbleSort,5000,aleatorio,1016.1275863647461
24,bubbleSort,10000,crescente,2323.076009750366
25,bubbleSort,10000,decrescente,5016.438007354736
26,bubbleSort,10000,aleatorio,4490.231513977051
27,bubbleSort,15000,crescente,5380.717754364014
28,bubbleSort,15000,decrescente,11654.210805892944
29,bubbleSort,15000,aleatorio,9030.545234680176
30,bubbleSort,20000,crescente,9384.68599319458
31,bubbleSort,20000,decrescente,21445.899724960327
32,bubbleSort,20000,aleatorio,17299.121618270874
33,bubbleSort,50000,crescente,75399.59669113159
34,bubbleSort,50000,decrescente,186452.20756530762
35,bubbleSort,50000,aleatorio,134409.94238853455
36,bubbleSortMelhorado,1000,crescente,0.9968280792236328
37,bubbleSortMelhorado,1000,decrescente,78.84430885314941
38,bubbleSortMelhorado,1000,aleatorio,61.82289123535156
39,bubbleSortMelhorado,5000,crescente,0.0
40,bubbleSortMelhorado,5000,decrescente,1985.912799835205
41,bubbleSortMelhorado,5000,aleatorio,1764.7819519042969
42,bubbleSortMelhorado,10000,crescente,0.0
43,bubbleSortMelhorado,10000,decrescente,8249.71079826355
44,bubbleSortMelhorado,10000,aleatorio,7071.293354034424
45,bubbleSortMelhorado,15000,crescente,1.0004043579101562
46,bubbleSortMelhorado,15000,decrescente,17538.01965713501
47,bubbleSortMelhorado,15000,aleatorio,15471.82846069336
48,bubbleSortMelhorado,20000,crescente,1.9924640655517578
49,bubbleSortMelhorado,20000,decrescente,31211.53473854065
50,bubbleSortMelhorado,20000,aleatorio,27324.273824691772
51,bubbleSortMelhorado,50000,crescente,2.9921531677246094
52,bubbleSortMelhorado,50000,decrescente,197218.6563014984
53,bubbleSortMelhorado,50000,aleatorio,186637.41064071655
54,quickSortMelhorado,1000,crescente,1.1453628540039062
55,quickSortMelhorado,1000,decrescente,0.0
56,quickSortMelhorado,1000,aleatorio,0.0
57,quickSortMelhorado,5000,crescente,7.997751235961914
58,quickSortMelhorado,5000,decrescente,0.0
59,quickSortMelhorado,5000,aleatorio,8.32819938659668
60,quickSortMelhorado,10000,crescente,8.076667785644531
61,quickSortMelhorado,10000,decrescente,7.999897003173828
62,quickSortMelhorado,10000,aleatorio,7.98487663269043
63,quickSortMelhorado,15000,crescente,8.194208145141602
64,quickSortMelhorado,15000,decrescente,16.26420021057129
65,quickSortMelhorado,15000,aleatorio,16.257762908935547
66,quickSortMelhorado,20000,crescente,13.93270492553711
67,quickSortMelhorado,20000,decrescente,8.220672607421875
68,quickSortMelhorado,20000,aleatorio,16.304969787597656
69,quickSortMelhorado,50000,crescente,33.077239990234375
70,quickSortMelhorado,50000,decrescente,32.28402137756348
71,quickSortMelhorado,50000,aleatorio,56.548357009887695
72,insertionSort,1000,crescente,8.00466537475586
73,insertionSort,1000,decrescente,48.819541931152344
74,insertionSort,1000,aleatorio,16.665220260620117
75,insertionSort,5000,crescente,0.0
76,insertionSort,5000,decrescente,937.1318817138672
77,insertionSort,5000,aleatorio,472.96714782714844
78,insertionSort,10000,crescente,0.0
79,insertionSort,10000,decrescente,3903.869867324829
80,insertionSort,10000,aleatorio,1941.9362545013428
81,insertionSort,15000,crescente,0.0
82,insertionSort,15000,decrescente,7885.857343673706
83,insertionSort,15000,aleatorio,4293.797969818115
84,insertionSort,20000,crescente,0.0
85,insertionSort,20000,decrescente,14573.320627212524
86,insertionSort,20000,aleatorio,7340.253114700317
87,insertionSort,50000,crescente,8.15439224243164
88,insertionSort,50000,decrescente,98530.38883209229
89,insertionSort,50000,aleatorio,50771.28863334656
90,shellSort,1000,crescente,0.0
91,shellSort,1000,decrescente,1.3203620910644531
92,shellSort,1000,aleatorio,0.0
93,shellSort,5000,crescente,8.139371871948242
94,shellSort,5000,decrescente,8.86678695678711
95,shellSort,5000,aleatorio,9.871482849121094
96,shellSort,10000,crescente,0.0
97,shellSort,10000,decrescente,8.408069610595703
98,shellSort,10000,aleatorio,16.994714736938477
99,shellSort,15000,crescente,16.760826110839844
100,shellSort,15000,decrescente,16.27826690673828
101,shellSort,15000,aleatorio,40.73500633239746
